formula_pretty,e_above_hull,bandgap,is_magnetic,mat_id
Rb3HfRh,1.8294487,0.0,True,agm002575292
Rb3HfRu,2.3080046,0.0,False,agm002575331
Rb3HfS,1.1305647,0.0,True,agm002586020
Rb3HfSb,1.2445465,0.0,True,agm002575367
Rb3HfSc,1.6607983,0.0,True,agm002593021
Rb3HfSe,1.1409982,0.0,True,agm002596710
Rb3HfSi,1.7068895,0.0,True,agm002600389
Rb3HfSn,1.3539912,0.0,True,agm002575394
Rb3HfTa,2.4161725,0.0,True,agm002575011
Rb3HfTc,2.4538314,0.0,False,agm002575497
Rb3HfTe,1.1867006,0.0,True,agm002575540
Rb3HfTi,1.9197718,0.0,True,agm002615881
Rb3HfTl,1.2148701,0.0,True,agm002575012
Rb3HfV,1.8346775,0.0,True,agm002621389
Rb3HfW,2.470194,0.0,True,agm002575014
Rb3HfZn,1.2569953,0.0,True,agm002627955
Rb3HfZr,2.0077488,0.0,True,agm002575645
Rb3HgAs,0.19076948,0.0,False,agm002401656
Rb3HgAu,0.12689541,0.0,False,agm002574909
Rb3HgB,0.79815304,0.0,True,agm002410385
Rb3HgBi,0.16963357,0.0464,False,agm002575016
Rb3HgBr,0.1467405,0.0,False,agm002426263
Rb3HgC,0.90364593,0.0,True,agm002432108
Rb3HgCl,0.122331046,0.0,False,agm002449647
Rb3HgF,0.0713625,0.0,False,agm002468613
Rb3HgGe,0.3022505,0.0,True,agm002485042
Rb3HgH,0.08888326,0.0,False,agm002494280
Rb3HgI,0.19435398,0.0,False,agm002575033
Rb3HgIr,0.68557733,0.0,False,agm002575092
Rb3HgMo,1.1163447,0.0,True,agm002575121
Rb3HgN,0.49942243,0.0,True,agm002539058
Rb3HgO,0.059423074,0.0,False,agm002558634
Rb3HgOs,1.1563777,0.0,True,agm002575207
Rb3HgP,0.2156637,0.0,False,agm002569556
Rb3HgPb,0.24450128,0.0,True,agm002575018
Rb3HgPd,0.19755155,0.0,False,agm002575231
Rb3HgPt,0.19365747,0.0,False,agm002575262
Rb3HgRh,0.49963546,0.0,False,agm002575294
Rb3HgRu,0.9102277,0.0,True,agm002575333
Rb3HgS,0.13302693,0.0,False,agm002586022
Rb3HgSb,0.17797932,0.0706,False,agm002575369
Rb3HgSe,0.14993435,0.0,False,agm002596712
Rb3HgTe,0.18511198,0.0,False,agm002575542
Rb3HgW,1.3831788,0.0,True,agm002575570
Rb3IBr,0.21431705,0.0,False,agm002426265
Rb3ICl,0.18932456,0.0,False,agm002449649
Rb3IF,0.17221016,0.0,False,agm002469701
Rb3IN,0.4817253,0.0,False,agm002540218
Rb3IO,0.015495827,0.5267,False,agm002176780
Rb3InAg,0.27900404,0.0,False,agm002574882
Rb3InAs,0.41001433,0.0,True,agm002401660
Rb3InAu,0.21394765,0.0,False,agm002575051
Rb3InB,0.95737314,0.0,False,agm002412981
Rb3InBi,0.43070692,0.0,True,agm002575055
Rb3InBr,0.2275435,0.0,False,agm002426267
Rb3InC,1.169382,0.0,True,agm002434611
Rb3InCl,0.18990052,0.0,False,agm002449651
Rb3InCo,0.815511,0.0,True,agm002454629
Rb3InCu,0.4030765,0.0,False,agm002464208
Rb3InF,0.13682412,0.0,False,agm002470855
Rb3InFe,0.9888276,0.0,True,agm002477841
Rb3InGa,0.44884634,0.0,True,agm002481558
Rb3InGe,0.4916617,0.0,True,agm002485046
Rb3InH,0.14000462,0.0,False,agm002497082
Rb3InHg,0.2645524,0.0,False,agm002575062
Rb3InI,0.29649645,0.0,False,agm002575063
Rb3InIr,0.87377465,0.0,True,agm002575065
Rb3InMo,1.2619073,0.0,True,agm002575125
Rb3InN,0.7277714,0.0,False,agm002541464
Rb3InO,0.29750925,0.0,True,agm002560967
Rb3InOs,1.4020268,0.0,True,agm002575068
Rb3InP,0.42983615,0.0,True,agm002571430
Rb3InPb,0.46799272,0.0,False,agm002575070
Rb3InPd,0.471362,0.0,True,agm002575235
Rb3InPt,0.449527,0.0,True,agm002575072
Rb3InRe,1.504209,0.0,True,agm002575074
Rb3InRh,0.77548385,0.0,False,agm002575297
Rb3InRu,1.1094395,0.0,False,agm002575337
Rb3InS,0.30626267,0.0,True,agm002586026
Rb3InSb,0.43466368,0.0,True,agm002575076
Rb3InSe,0.32621846,0.0,True,agm002596716
Rb3InSi,0.5708897,0.0,True,agm002603359
Rb3InSn,0.49546832,0.0,False,agm002575078
Rb3InTc,1.3273003,0.0,True,agm002575502
Rb3InTe,0.36903206,0.0,True,agm002575082
Rb3InW,1.5331405,0.0,True,agm002575086
Rb3IrAu,0.7131554,0.0,True,agm002575089
Rb3IrBr,0.7307535,0.0,True,agm002426268
Rb3IrC,1.7076057,0.0,True,agm002435757
Rb3IrCl,0.78505415,0.0,True,agm002449652
Rb3IrF,0.6297661,0.0,True,agm002471944
Rb3IrI,0.6669584,0.0,True,agm002575034
Rb3IrN,1.2787219,0.0,True,agm002533039
Rb3IrO,0.8446825,0.0,True,agm002562152
Rb3IrOs,1.9222355,0.0,True,agm002575208
Rb3IrPd,0.9604825,0.0,True,agm002575237
Rb3IrPt,0.98517454,0.0664,True,agm002575093
