epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    6,    25,            32649,            32131,           517.83,       0.00073861,           22.756,            32131
    6,    26,            37779,            37771,           8.7624,           77.517,           2.9601,            37771
    6,    27,            11711,            11539,           171.06,           10.093,           13.079,            11539
    6,    28,            30046,            29052,           993.83,       0.00066227,           31.525,            29052
    7,     1,            14298,            14291,           6.6032,           6.2138,           2.5697,            14291
    7,     2,            26670,            26600,           69.722,       0.00065579,             8.35,            26600
    7,     3,            29700,            28073,           1626.8,       0.00032252,           40.334,            28073
    7,     4,            12141,            11327,           814.37,           15.051,           28.537,            11327
    7,     5,           1913.7,           1825.6,           88.105,       6.0694e-05,           9.3864,           1825.6
    7,     6,            18183,            16647,           1536.1,       0.00014071,           39.193,            16647
    7,     7,           4913.4,           3055.8,           1857.6,       0.00016185,             43.1,           3055.8
    7,     8,            35866,            32249,             3617,       0.00064471,           60.141,            32249
    7,     9,            17580,            17415,           164.22,       0.00025253,           12.815,            17415
    7,    10,            28105,            27597,           507.43,            24.29,           22.526,            27597
    7,    11,            16059,            15681,           377.48,       0.00018144,           19.429,            15681
    7,    12,           6650.8,           4760.2,           1890.6,        0.0001754,           43.481,           4760.2
    7,    13,            15529,            15440,           88.813,       0.00023313,           9.4241,            15440
    7,    14,           8308.3,           7698.8,           609.48,       0.00010404,           24.688,           7698.8
    7,    15,           8546.3,           8212.2,           334.11,          0.62031,           18.279,           8212.2
    7,    16,           7862.5,           7788.5,           74.046,       0.00044331,            8.605,           7788.5
    7,    17,           9672.9,           9401.6,           271.28,           9.1873,           16.471,           9401.6
    7,    18,            10669,            10064,           604.83,        0.0004159,           24.593,            10064
    7,    19,            20198,            19978,            220.1,       0.00024138,           14.836,            19978
    7,    20,            27904,            27625,           278.87,       0.00012171,           16.699,            27625
    7,    21,            24773,            24680,           92.685,       0.00081975,           9.6273,            24680
    7,    22,            25312,            25302,           9.6151,           65.385,           3.1008,            25302
    7,    23,            17288,            16889,              399,           19.137,           19.975,            16889
    7,    24,            23632,            23335,           297.56,           17.156,            17.25,            23335
    7,    25,            11310,            11301,           8.4956,           28.068,           2.9147,            11301
    7,    26,            11961,            11680,           280.36,       0.00018717,           16.744,            11680
    7,    27,            10542,            10537,           4.8767,       0.00082076,           2.2083,            10537
    7,    28,            45675,            45442,           233.21,           39.266,           15.271,            45442
    8,     1,           4797.4,           4624.3,           173.17,       0.00013974,           13.159,           4624.3
